 DIST. DOWNSLOPE ELEVATION SOIL LOSS

   (METERS)   (METERS)  (KG/M**2)

      0.200      0.574      0.000
      0.400      0.568      0.000
      0.600      0.563      0.000
      0.800      0.557      0.000
      1.000      0.551      0.000
      1.200      0.545      0.000
      1.400      0.539      0.000
      1.600      0.534      0.000
      1.800      0.528      0.000
      2.000      0.522      0.000
      2.200      0.516      0.000
      2.400      0.510      0.000
      2.600      0.505      0.000
      2.800      0.499      0.000
      3.000      0.493      0.000
      3.200      0.487      0.000
      3.400      0.481      0.000
      3.600      0.476      0.000
      3.800      0.470      0.000
      4.000      0.464      0.000
      4.200      0.458      0.000
      4.400      0.452      0.000
      4.600      0.447      0.000
      4.800      0.441      0.000
      5.000      0.435      0.000
      5.200      0.429      0.000
      5.400      0.423      0.000
      5.600      0.418      0.000
      5.800      0.412      0.000
      6.000      0.406      0.000
      6.200      0.400      0.000
      6.400      0.394      0.000
      6.600      0.389      0.000
      6.800      0.383      0.000
      7.000      0.377      0.000
      7.200      0.371      0.000
      7.400      0.365      0.000
      7.600      0.360      0.000
      7.800      0.354      0.000
      8.000      0.348      0.000
      8.200      0.342      0.000
      8.400      0.336      0.000
      8.600      0.331      0.000
      8.800      0.325      0.000
      9.000      0.319      0.000
      9.200      0.313      0.000
      9.400      0.307      0.000
      9.600      0.302      0.000
      9.800      0.296      0.000
     10.000      0.290      0.000
     10.200      0.284      0.000
     10.400      0.278      0.000
     10.600      0.273      0.000
     10.800      0.267      0.000
     11.000      0.261      0.000
     11.200      0.255      0.000
     11.400      0.249      0.000
     11.600      0.244      0.000
     11.800      0.238      0.000
     12.000      0.232      0.000
     12.200      0.226      0.000
     12.400      0.220      0.000
     12.600      0.215      0.000
     12.800      0.209      0.000
     13.000      0.203      0.000
     13.200      0.197      0.000
     13.400      0.191      0.000
     13.600      0.186      0.000
     13.800      0.180      0.000
     14.000      0.174      0.000
     14.200      0.168      0.000
     14.400      0.162      0.000
     14.600      0.157      0.000
     14.800      0.151      0.000
     15.000      0.145      0.000
     15.200      0.139      0.000
     15.400      0.133      0.000
     15.600      0.128      0.000
     15.800      0.122      0.000
     16.000      0.116      0.000
     16.200      0.110      0.000
     16.400      0.104      0.000
     16.600      0.099      0.000
     16.800      0.093      0.000
     17.000      0.087      0.000
     17.200      0.081      0.000
     17.400      0.075      0.000
     17.600      0.070      0.000
     17.800      0.064      0.000
     18.000      0.058      0.000
     18.200      0.052      0.000
     18.400      0.046      0.000
     18.600      0.041      0.000
     18.800      0.035      0.000
     19.000      0.029      0.000
     19.200      0.023      0.000
     19.400      0.017      0.000
     19.600      0.012      0.000
     19.800      0.006      0.000
     20.000      0.000      0.000
